university;user_id;user_name;number_tweets;friends_count;followers_count;created_at
uvalpochile;220579196;devfanatic;473;1028;214;"Sun Nov 28 05:55:02 +0000 2010"
uvalpochile;543154332;lhenrina83;7114;1650;432;"Mon Apr 02 03:22:27 +0000 2012"
uvalpochile;154755689;karlanailett77;1095;107;143;"Sat Jun 12 03:28:39 +0000 2010"
uvalpochile;1197951047626641410;Pepecita1;310;69;12;"Fri Nov 22 18:53:17 +0000 2019"
uvalpochile;1246659500465164293;americo_marras;30;89;48;"Sun Apr 05 04:43:03 +0000 2020"
uvalpochile;1346614354846900231;RonaldoFre8re;3;152;3;"Wed Jan 06 00:27:46 +0000 2021"
uvalpochile;1357356024257261568;senado_abierto;90;243;230;"Thu Feb 04 15:52:28 +0000 2021"
uvalpochile;1315708904257576960;MiGiKISEIJU;5;75;51;"Mon Oct 12 17:40:31 +0000 2020"
uvalpochile;1391504413244772357;CrissLoops;1;40;1;"Sun May 09 21:24:59 +0000 2021"
uvalpochile;1389278768653549570;SergioLarrainE;15;314;157;"Mon May 03 18:01:19 +0000 2021"
uvalpochile;118099437;mariajoOlivera;5400;565;250;"Sat Feb 27 16:04:07 +0000 2010"
uvalpochile;1287602264857882624;thr0wacc0unt;17;34;2;"Mon Jul 27 04:14:52 +0000 2020"
uvalpochile;1064261425;roberpisco;242;86;111;"Sat Jan 05 23:17:57 +0000 2013"
uvalpochile;1390868964608286722;la_giga_;28;310;5;"Sat May 08 03:19:49 +0000 2021"
uvalpochile;903051048;cami_c_z;27;290;73;"Thu Oct 25 02:31:54 +0000 2012"
uvalpochile;1390739502818332674;Elsonmalves_;0;25;1;"Fri May 07 18:45:22 +0000 2021"
uvalpochile;1296848622064107522;espaciolibreria;616;1182;1319;"Fri Aug 21 16:37:05 +0000 2020"
uvalpochile;369080705;daniel11jimenez;3029;1034;237;"Tue Sep 06 18:47:36 +0000 2011"
uvalpochile;54123079;renaleyton;1708;4221;632;"Mon Jul 06 05:12:30 +0000 2009"
uvalpochile;809209110466007040;Samo_Goncalves;3085;1853;657;"Thu Dec 15 01:31:01 +0000 2016"
uvalpochile;185265486;subrei_chile;10618;2605;20648;"Tue Aug 31 15:50:29 +0000 2010"
uvalpochile;110687997;jorgelucerossel;27929;2650;2885;"Tue Feb 02 12:36:15 +0000 2010"
