university;user_id;user_name;number_tweets;friends_count;followers_count;created_at
uvalpochile;920366557003485185;HumanaDinamica;551;1882;179;"Tue Oct 17 19:11:01 +0000 2017"
uvalpochile;615790289;A_nago;36543;2811;1501;"Sat Jun 23 04:15:29 +0000 2012"
uvalpochile;1156849743039016960;Diego31596607;58;156;3;"Thu Aug 01 08:50:46 +0000 2019"
uvalpochile;4187839313;JoeRoz90;3;46;9;"Sat Nov 14 17:21:40 +0000 2015"
uvalpochile;500410155;jbarrera232;74;46;19;"Thu Feb 23 03:29:01 +0000 2012"
uvalpochile;4705404410;ItaloMasotti;1;67;9;"Sun Jan 03 21:54:23 +0000 2016"
uvalpochile;1338969808461844486;FiliiSapientiae;70;92;11;"Tue Dec 15 22:11:05 +0000 2020"
uvalpochile;1389566203929239558;CondorTrenes;530;362;18;"Tue May 04 13:03:15 +0000 2021"
uvalpochile;1389480938095136768;Angela79269321;0;76;2;"Tue May 04 07:24:21 +0000 2021"
uvalpochile;1389430982835593219;Renata10148253;6;29;1;"Tue May 04 04:05:45 +0000 2021"
uvalpochile;1389081958379139073;Andrea28632496;0;49;3;"Mon May 03 04:58:53 +0000 2021"
uvalpochile;848043741730541568;JoanAndresSD;204;137;36;"Sat Apr 01 05:25:58 +0000 2017"
uvalpochile;823975460166107136;Carol_Campuzano;1639;1548;1309;"Tue Jan 24 19:27:13 +0000 2017"
uvalpochile;1193871705258778625;Pedagogias_UFRO;1413;348;239;"Mon Nov 11 12:43:35 +0000 2019"
uvalpochile;1262512137466974217;DefensorMayores;558;1815;857;"Mon May 18 22:37:20 +0000 2020"
uvalpochile;1380982485228658697;Indepen80965284;88;973;164;"Sat Apr 10 20:34:36 +0000 2021"
uvalpochile;159097662;omar_cah;280;54;34;"Thu Jun 24 12:54:34 +0000 2010"
uvalpochile;57662387;MarioAntoGuzman;42247;12221;11087;"Fri Jul 17 14:52:58 +0000 2009"
uvalpochile;1344203990;FundacionUCLM;1268;1310;1692;"Thu Apr 11 11:55:06 +0000 2013"
uvalpochile;1690963946;negrimia;5678;593;170;"Thu Aug 22 12:38:55 +0000 2013"
uvalpochile;1356284162551013382;3miliocarrizo;13;306;8;"Mon Feb 01 16:52:10 +0000 2021"
uvalpochile;3567323777;brandomguerin;4;118;7;"Sun Sep 06 15:11:45 +0000 2015"
uvalpochile;163202844;FrandalF16;5142;571;322;"Mon Jul 05 20:28:01 +0000 2010"
uvalpochile;1289354890180009984;Cecilia84091004;0;148;2;"Sat Aug 01 00:19:39 +0000 2020"
uvalpochile;984902618362318849;EducaViento;250;119;28;"Fri Apr 13 21:14:17 +0000 2018"
uvalpochile;2185642495;AiledNiebla;5;399;17;"Sun Nov 10 05:07:01 +0000 2013"
uvalpochile;1384759192599281665;AlonsoArandaY01;5;39;2;"Wed Apr 21 06:41:42 +0000 2021"
uvalpochile;4322661982;Insectopis;24;147;35;"Sun Nov 29 22:45:55 +0000 2015"
uvalpochile;1184209391177916417;ConstanzaPazBu1;147;709;37;"Tue Oct 15 20:48:25 +0000 2019"
uvalpochile;4851915459;nada3856;662;596;62;"Wed Jan 27 02:17:33 +0000 2016"
uvalpochile;1380638215346982925;PucvSostenible;73;143;57;"Fri Apr 09 21:46:33 +0000 2021"
uvalpochile;356356537;nestorbanderas;6420;1664;976;"Tue Aug 16 18:43:23 +0000 2011"
uvalpochile;132911019;cmolinaponce;396;465;32;"Wed Apr 14 14:11:18 +0000 2010"
uvalpochile;1384495379803250689;EdithMuozSanhu3;2;161;5;"Tue Apr 20 13:13:34 +0000 2021"
uvalpochile;169972438;sibylaepp;1152;1804;368;"Fri Jul 23 16:46:31 +0000 2010"
uvalpochile;1002982470332157952;ArzapaloVillon;42;427;16;"Sat Jun 02 18:37:10 +0000 2018"
uvalpochile;3254138717;Guayita19;893;347;23;"Thu May 14 16:02:35 +0000 2015"
uvalpochile;2729469700;janokabrera;852;421;36;"Wed Jul 30 22:58:43 +0000 2014"
uvalpochile;554647755;info_navarro;22707;1733;4665;"Sun Apr 15 19:00:27 +0000 2012"
uvalpochile;1214982160639246337;Cristia27877147;36;1544;65;"Wed Jan 08 18:48:30 +0000 2020"
uvalpochile;113143369;noparis;461;424;44;"Wed Feb 10 21:12:03 +0000 2010"
uvalpochile;1424392832;Manuel_JRP;20;65;22;"Mon May 13 01:38:21 +0000 2013"
uvalpochile;161484319;carralb_;7033;1875;598;"Wed Jun 30 23:59:59 +0000 2010"
uvalpochile;1383432719498022912;Anahi28432711;0;9;0;"Sat Apr 17 14:50:52 +0000 2021"
uvalpochile;1325866530;XimenaAravenaM;6751;358;147;"Thu Apr 04 01:47:32 +0000 2013"
